,time/s,full,annular
0,0.0,1.03999,0.28295
1,0.001,1.03805,0.31168
2,0.002,1.03771,0.31659
3,0.003,1.03796,0.28096
4,0.004,1.03779,0.25717
5,0.005,1.03678,0.24917
6,0.006,1.03703,0.23328
7,0.007,1.03644,0.22915
8,0.008,1.03695,0.22341
9,0.009,1.03695,0.21438
10,0.01,1.03703,0.20938
11,0.011,1.03923,0.20881
12,0.012,1.03653,0.20596
13,0.013,1.03864,0.20424
14,0.014,1.03628,0.19442
15,0.015,1.03636,0.19432
16,0.016,1.03712,0.19986
17,0.017,1.03661,0.19249
18,0.018,1.03628,0.19456
19,0.019,1.03771,0.19859
20,0.02,1.03915,0.20012
21,0.021,1.03712,0.22317
22,0.022,1.03602,0.20454
23,0.023,1.03746,0.21146
24,0.024,1.03611,0.23524
25,0.025,1.0372,0.22166
26,0.026,1.03779,0.2186
27,0.027,1.03915,0.31263
28,0.028,1.03729,0.26198
29,0.029,1.03847,0.2166
30,0.03,1.03594,0.21756
31,0.031,1.03535,0.22096
32,0.032,1.03813,0.23071
33,0.033,1.0351,0.23136
34,0.034,1.03847,0.23405
35,0.035,1.03813,0.23519
36,0.036,1.03746,0.2301
37,0.037,1.03703,0.22569
38,0.038,1.03729,0.21987
39,0.039,1.03915,0.2162
40,0.04,1.03779,0.21568
41,0.041,1.03712,0.22497
42,0.042,1.03847,0.22245
43,0.043,1.03788,0.22132
44,0.044,1.03805,0.2252
45,0.045,1.03687,0.22787
46,0.046,1.03628,0.23026
47,0.047,1.03763,0.23536
48,0.048,1.0367,0.23667
49,0.049,1.03763,0.23165
50,0.05,1.03855,0.22317
51,0.051,1.03611,0.21145
52,0.052,1.03796,0.20288
53,0.053,1.03805,0.19579
54,0.054,1.03771,0.19047
55,0.055,1.03796,0.18509
56,0.056,1.03712,0.18156
57,0.057,1.03594,0.18327
58,0.058,1.03779,0.19066
59,0.059,1.03847,0.19456
60,0.06,1.0383,0.19092
61,0.061,1.0351,0.18623
62,0.062,1.03754,0.1802
63,0.063,1.0372,0.17754
64,0.064,1.03687,0.16906
65,0.065,1.03847,0.17045
66,0.066,1.03695,0.18582
67,0.067,1.03678,0.18375
68,0.068,1.03493,0.18378
69,0.069,1.03636,0.18258
70,0.07,1.03678,0.18228
71,0.071,1.03847,0.17883
72,0.072,1.03974,0.17148
73,0.073,1.03771,0.17353
74,0.074,1.03923,0.18144
75,0.075,1.03839,0.18217
76,0.076,1.03712,0.17838
77,0.077,1.03763,0.17515
78,0.078,1.03695,0.17887
79,0.079,1.03966,0.18219
80,0.08,1.03602,0.1859
81,0.081,1.03644,0.19091
82,0.082,1.0394,0.19175
83,0.083,1.03476,0.19436
84,0.084,1.03813,0.20467
85,0.085,1.03611,0.19538
86,0.086,1.03779,0.19334
87,0.087,1.03822,0.18255
88,0.088,1.03847,0.18728
89,0.089,1.03822,0.20288
90,0.09,1.03703,0.20863
91,0.091,1.0356,0.20072
92,0.092,1.03788,0.18941
93,0.093,1.03746,0.19369
94,0.094,1.03619,0.21997
95,0.095,1.03712,0.21753
96,0.096,1.03695,0.20697
97,0.097,1.0372,0.19673
98,0.098,1.0367,0.18752
99,0.099,1.03611,0.18228
100,0.1,1.03737,0.19378
101,0.101,1.0372,0.19622
102,0.102,1.03847,0.19249
103,0.103,1.03872,0.1852
104,0.104,1.03552,0.18546
105,0.105,1.03518,0.18171
106,0.106,1.03737,0.17831
107,0.107,1.03729,0.1814
108,0.108,1.0356,0.18647
109,0.109,1.03628,0.18048
110,0.11,1.03729,0.17187
111,0.111,1.03872,0.17287
112,0.112,1.03932,0.17025
113,0.113,1.03881,0.16519
114,0.114,1.0372,0.16276
115,0.115,1.03763,0.158
116,0.116,1.03687,0.15803
117,0.117,1.03535,0.16385
118,0.118,1.03628,0.16359
119,0.119,1.03611,0.16475
120,0.12,1.03763,0.16217
121,0.121,1.0383,0.16276
122,0.122,1.03889,0.15935
123,0.123,1.03695,0.16075
124,0.124,1.03746,0.15594
125,0.125,1.03746,0.15588
126,0.126,1.03569,0.1603
127,0.127,1.03822,0.1703
128,0.128,1.0356,0.17444
129,0.129,1.0372,0.17473
130,0.13,1.03703,0.17353
131,0.131,1.03695,0.16873
132,0.132,1.03746,0.16668
133,0.133,1.03703,0.16438
134,0.134,1.03602,0.15883
135,0.135,1.03661,0.16092
136,0.136,1.04033,0.15984
137,0.137,1.03703,0.15931
138,0.138,1.04084,0.15519
139,0.139,1.03687,0.15012
140,0.14,1.03889,0.14562
141,0.141,1.03518,0.14281
142,0.142,1.03426,0.14237
143,0.143,1.03949,0.13882
144,0.144,1.0394,0.13585
145,0.145,1.03602,0.139
146,0.146,1.03602,0.1393
147,0.147,1.03653,0.14156
148,0.148,1.03544,0.1488
149,0.149,1.03855,0.14824
150,0.15,1.03712,0.14787
151,0.151,1.03999,0.15147
152,0.152,1.03661,0.15019
153,0.153,1.03779,0.14928
154,0.154,1.03687,0.15043
155,0.155,1.03577,0.15387
156,0.156,1.03586,0.15739
157,0.157,1.03636,0.17047
158,0.158,1.03957,0.2329
159,0.159,1.0394,0.20647
160,0.16,1.03729,0.21052
161,0.161,1.03602,0.19828
162,0.162,1.0405,0.31753
163,0.163,1.03653,0.3174
164,0.164,1.03552,0.30104
165,0.165,1.03906,0.27847
166,0.166,1.03518,0.26788
167,0.167,1.03771,0.25997
168,0.168,1.03712,0.25774
169,0.169,1.0367,0.24579
170,0.17,1.03898,0.23454
171,0.171,1.03544,0.22572
172,0.172,1.03737,0.23121
173,0.173,1.03619,0.23238
174,0.174,1.03636,0.2411
175,0.175,1.03966,0.23284
176,0.176,1.03788,0.23786
177,0.177,1.0383,0.23997
178,0.178,1.0394,0.23338
179,0.179,1.03915,0.22346
180,0.18,1.03746,0.21476
181,0.181,1.03813,0.21047
182,0.182,1.03763,0.21098
183,0.183,1.03737,0.20754
184,0.184,1.03644,0.20985
185,0.185,1.03712,0.20589
186,0.186,1.03628,0.20416
187,0.187,1.03628,0.2064
188,0.188,1.0383,0.21408
189,0.189,1.03687,0.20859
190,0.19,1.0383,0.19899
191,0.191,1.03729,0.18569
192,0.192,1.03847,0.18124
193,0.193,1.03678,0.18679
194,0.194,1.03754,0.18383
195,0.195,1.03569,0.17518
196,0.196,1.03737,0.16862
197,0.197,1.03611,0.17002
198,0.198,1.03915,0.17907
199,0.199,1.03763,0.18035
200,0.2,1.03628,0.18669
201,0.201,1.03966,0.18885
202,0.202,1.03923,0.1829
203,0.203,1.03661,0.17393
204,0.204,1.04084,0.16629
205,0.205,1.03746,0.16019
206,0.206,1.03754,0.15455
207,0.207,1.03695,0.15532
208,0.208,1.03898,0.14938
209,0.209,1.03746,0.14911
210,0.21,1.03771,0.14713
211,0.211,1.03729,0.15719
212,0.212,1.03915,0.16483
213,0.213,1.03796,0.16936
214,0.214,1.03712,0.16992
215,0.215,1.03923,0.17059
216,0.216,1.03493,0.17293
217,0.217,1.03796,0.17349
218,0.218,1.03754,0.16935
219,0.219,1.03729,0.1693
220,0.22,1.03729,0.1677
221,0.221,1.03729,0.16588
222,0.222,1.03898,0.16642
223,0.223,1.03881,0.1644
224,0.224,1.03771,0.16556
225,0.225,1.03779,0.17802
226,0.226,1.03636,0.17764
227,0.227,1.04025,0.18101
228,0.228,1.03737,0.18327
229,0.229,1.0351,0.17896
230,0.23,1.03754,0.17308
231,0.231,1.03628,0.17882
232,0.232,1.03763,0.1847
233,0.233,1.03661,0.19784
234,0.234,1.03796,0.19131
235,0.235,1.03451,0.19653
236,0.236,1.03602,0.2017
237,0.237,1.0383,0.20376
238,0.238,1.03729,0.20351
239,0.239,1.03754,0.20572
240,0.24,1.03619,0.21203
241,0.241,1.03847,0.20396
242,0.242,1.03855,0.19808
243,0.243,1.03813,0.20059
244,0.244,1.03754,0.18649
245,0.245,1.03611,0.19304
246,0.246,1.0372,0.20071
247,0.247,1.03485,0.209
248,0.248,1.03746,0.21405
249,0.249,1.03703,0.22293
250,0.25,1.03847,0.22937
251,0.251,1.03611,0.22545
252,0.252,1.03661,0.21301
253,0.253,1.03881,0.22443
254,0.254,1.03535,0.22696
255,0.255,1.0394,0.22084
256,0.256,1.03746,0.22575
257,0.257,1.03855,0.22907
258,0.258,1.03881,0.23357
259,0.259,1.03611,0.23562
260,0.26,1.03788,0.23474
261,0.261,1.03872,0.23882
262,0.262,1.0383,0.2532
263,0.263,1.03611,0.27959
264,0.264,1.03577,0.25987
265,0.265,1.04084,0.24132
266,0.266,1.03847,0.23997
267,0.267,1.03754,0.23969
268,0.268,1.03502,0.24457
269,0.269,1.03729,0.25337
270,0.27,1.03737,0.24144
271,0.271,1.03779,0.23121
272,0.272,1.03881,0.22783
273,0.273,1.03729,0.2329
274,0.274,1.03552,0.24419
275,0.275,1.03763,0.24284
276,0.276,1.03703,0.22962
277,0.277,1.03678,0.22619
278,0.278,1.03468,0.23117
279,0.279,1.03636,0.23554
280,0.28,1.03881,0.23472
281,0.281,1.03805,0.23115
282,0.282,1.03502,0.23794
283,0.283,1.03779,0.24105
284,0.284,1.03788,0.23532
285,0.285,1.03813,0.2266
286,0.286,1.03687,0.22815
287,0.287,1.03443,0.23233
288,0.288,1.0346,0.2367
289,0.289,1.03949,0.23933
290,0.29,1.03619,0.23846
291,0.291,1.03872,0.23013
292,0.292,1.03703,0.21966
293,0.293,1.04008,0.22079
294,0.294,1.0367,0.22219
295,0.295,1.03771,0.22025
296,0.296,1.04016,0.22921
297,0.297,1.03712,0.23504
