,time/s,full,bubble
0,0.0,1.03999,1.04016
1,0.001,1.03805,1.03855
2,0.002,1.03771,1.03982
3,0.003,1.03796,1.04067
4,0.004,1.03779,1.04118
5,0.005,1.03678,1.03982
6,0.006,1.03703,1.03855
7,0.007,1.03644,1.03881
8,0.008,1.03695,1.03974
9,0.009,1.03695,1.03746
10,0.01,1.03703,1.03703
11,0.011,1.03923,1.03703
12,0.012,1.03653,1.03949
13,0.013,1.03864,1.03418
14,0.014,1.03628,1.03864
15,0.015,1.03636,1.0394
16,0.016,1.03712,1.04238
17,0.017,1.03661,1.04229
18,0.018,1.03628,1.04008
19,0.019,1.03771,1.0405
20,0.02,1.03915,1.04008
21,0.021,1.03712,1.04059
22,0.022,1.03602,1.04186
23,0.023,1.03746,1.03847
24,0.024,1.03611,1.0372
25,0.025,1.0372,1.03847
26,0.026,1.03779,1.04204
27,0.027,1.03915,1.04195
28,0.028,1.03729,1.03949
29,0.029,1.03847,1.03932
30,0.03,1.03594,1.04084
31,0.031,1.03535,1.04042
32,0.032,1.03813,1.03898
33,0.033,1.0351,1.03577
34,0.034,1.03847,1.03746
35,0.035,1.03813,1.04118
36,0.036,1.03746,1.03974
37,0.037,1.03703,1.04008
38,0.038,1.03729,1.03779
39,0.039,1.03915,1.03527
40,0.04,1.03779,1.03957
41,0.041,1.03712,1.04016
42,0.042,1.03847,1.03678
43,0.043,1.03788,1.03586
44,0.044,1.03805,1.04033
45,0.045,1.03687,1.04169
46,0.046,1.03628,1.04033
47,0.047,1.03763,1.03602
48,0.048,1.0367,1.03982
49,0.049,1.03763,1.03678
50,0.05,1.03855,1.04076
51,0.051,1.03611,1.03839
52,0.052,1.03796,1.03881
53,0.053,1.03805,1.04008
54,0.054,1.03771,1.04059
55,0.055,1.03796,1.03864
56,0.056,1.03712,1.03796
57,0.057,1.03594,1.03619
58,0.058,1.03779,1.04033
59,0.059,1.03847,1.04186
60,0.06,1.0383,1.04101
61,0.061,1.0351,1.03898
62,0.062,1.03754,1.03932
63,0.063,1.0372,1.04016
64,0.064,1.03687,1.04178
65,0.065,1.03847,1.03957
66,0.066,1.03695,1.03999
67,0.067,1.03678,1.04033
68,0.068,1.03493,1.04272
69,0.069,1.03636,1.04229
70,0.07,1.03678,1.03712
71,0.071,1.03847,1.04067
72,0.072,1.03974,1.03847
73,0.073,1.03771,1.04229
74,0.074,1.03923,1.04486
75,0.075,1.03839,1.03729
76,0.076,1.03712,1.03476
77,0.077,1.03763,1.03326
78,0.078,1.03695,1.03301
79,0.079,1.03966,1.02818
80,0.08,1.03602,1.02694
81,0.081,1.03644,1.02777
