,time/s,full,plug
0,0.0,1.03999,1.02893
1,0.001,1.03805,1.02794
2,0.002,1.03771,1.02736
3,0.003,1.03796,1.02645
4,0.004,1.03779,1.02926
5,0.005,1.03678,1.02662
6,0.006,1.03703,1.03225
7,0.007,1.03644,1.03209
8,0.008,1.03695,1.02901
9,0.009,1.03695,1.02769
10,0.01,1.03703,1.02984
11,0.011,1.03923,1.02909
12,0.012,1.03653,1.02893
13,0.013,1.03864,1.02967
14,0.014,1.03628,1.02893
15,0.015,1.03636,1.0286
16,0.016,1.03712,1.02851
17,0.017,1.03661,1.02843
18,0.018,1.03628,1.02934
19,0.019,1.03771,1.02992
20,0.02,1.03915,1.02827
21,0.021,1.03712,1.02901
22,0.022,1.03602,1.02984
23,0.023,1.03746,1.02769
24,0.024,1.03611,1.02951
25,0.025,1.0372,1.02678
26,0.026,1.03779,1.02769
27,0.027,1.03915,1.03167
28,0.028,1.03729,1.03059
29,0.029,1.03847,1.02976
30,0.03,1.03594,1.02612
31,0.031,1.03535,1.02885
32,0.032,1.03813,1.02992
33,0.033,1.0351,1.02909
34,0.034,1.03847,1.02827
35,0.035,1.03813,1.03125
36,0.036,1.03746,1.03075
37,0.037,1.03703,1.02785
38,0.038,1.03729,1.03034
39,0.039,1.03915,1.02653
40,0.04,1.03779,1.03167
41,0.041,1.03712,1.02645
42,0.042,1.03847,1.03009
43,0.043,1.03788,1.02761
44,0.044,1.03805,1.03192
45,0.045,1.03687,1.02596
46,0.046,1.03628,1.02727
47,0.047,1.03763,1.02909
48,0.048,1.0367,1.02703
49,0.049,1.03763,1.03134
50,0.05,1.03855,1.02976
51,0.051,1.03611,1.02885
52,0.052,1.03796,1.02893
53,0.053,1.03805,1.02992
54,0.054,1.03771,1.02785
55,0.055,1.03796,1.02703
56,0.056,1.03712,1.02686
57,0.057,1.03594,1.02481
58,0.058,1.03779,1.02876
59,0.059,1.03847,1.03017
60,0.06,1.0383,1.02777
61,0.061,1.0351,1.02827
62,0.062,1.03754,1.03026
63,0.063,1.0372,1.02934
64,0.064,1.03687,1.02959
65,0.065,1.03847,1.02951
66,0.066,1.03695,1.02612
67,0.067,1.03678,1.02827
68,0.068,1.03493,1.02827
69,0.069,1.03636,1.02835
70,0.07,1.03678,1.02992
71,0.071,1.03847,1.02662
72,0.072,1.03974,1.02571
73,0.073,1.03771,1.03284
74,0.074,1.03923,1.02827
75,0.075,1.03839,1.02818
76,0.076,1.03712,1.02802
77,0.077,1.03763,1.03001
78,0.078,1.03695,1.02785
79,0.079,1.03966,1.02943
80,0.08,1.03602,1.02727
81,0.081,1.03644,1.02885
82,0.082,1.0394,1.02678
83,0.083,1.03476,1.0281
84,0.084,1.03813,1.02868
85,0.085,1.03611,1.02563
86,0.086,1.03779,1.02818
87,0.087,1.03822,1.02851
88,0.088,1.03847,1.02662
89,0.089,1.03822,1.02694
90,0.09,1.03703,1.02719
91,0.091,1.0356,1.02827
92,0.092,1.03788,1.02399
93,0.093,1.03746,1.02802
94,0.094,1.03619,1.031
95,0.095,1.03712,1.02637
96,0.096,1.03695,1.02794
97,0.097,1.0372,1.02777
98,0.098,1.0367,1.02761
99,0.099,1.03611,1.02818
100,0.1,1.03737,1.02662
101,0.101,1.0372,1.03017
102,0.102,1.03847,1.02612
103,0.103,1.03872,1.03109
104,0.104,1.03552,1.02934
105,0.105,1.03518,1.02868
106,0.106,1.03737,1.0281
107,0.107,1.03729,1.03109
108,0.108,1.0356,1.02612
109,0.109,1.03628,1.02736
110,0.11,1.03729,1.02694
111,0.111,1.03872,1.02785
112,0.112,1.03932,1.02662
