,time/s,full,slug
0,0.0,1.03999,1.02497
1,0.001,1.03805,1.02415
2,0.002,1.03771,1.02489
3,0.003,1.03796,1.02744
4,0.004,1.03779,1.02546
5,0.005,1.03678,1.02472
6,0.006,1.03703,1.02399
7,0.007,1.03644,1.02587
8,0.008,1.03695,1.0267
9,0.009,1.03695,1.02522
10,0.01,1.03703,1.02448
11,0.011,1.03923,1.02538
12,0.012,1.03653,1.02785
13,0.013,1.03864,1.02827
14,0.014,1.03628,1.02513
15,0.015,1.03636,1.02309
16,0.016,1.03712,1.02497
17,0.017,1.03661,1.02703
18,0.018,1.03628,1.02505
19,0.019,1.03771,1.02374
20,0.02,1.03915,1.02415
21,0.021,1.03712,1.02579
22,0.022,1.03602,1.02596
23,0.023,1.03746,1.02554
24,0.024,1.03611,1.0262
25,0.025,1.0372,1.02629
26,0.026,1.03779,1.02761
27,0.027,1.03915,1.02794
28,0.028,1.03729,1.02538
29,0.029,1.03847,1.02612
30,0.03,1.03594,1.02744
31,0.031,1.03535,1.02678
32,0.032,1.03813,1.02686
33,0.033,1.0351,1.02554
34,0.034,1.03847,1.02546
35,0.035,1.03813,1.02711
36,0.036,1.03746,1.0208
37,0.037,1.03703,1.02703
38,0.038,1.03729,1.0253
39,0.039,1.03915,1.02827
40,0.04,1.03779,1.02736
41,0.041,1.03712,1.02744
42,0.042,1.03847,1.02554
43,0.043,1.03788,1.02604
44,0.044,1.03805,1.02629
45,0.045,1.03687,1.02843
46,0.046,1.03628,1.02736
47,0.047,1.03763,1.0267
48,0.048,1.0367,1.0253
49,0.049,1.03763,1.02579
50,0.05,1.03855,1.02926
51,0.051,1.03611,1.02596
52,0.052,1.03796,1.02703
53,0.053,1.03805,1.02703
54,0.054,1.03771,1.02934
55,0.055,1.03796,1.02943
56,0.056,1.03712,1.02678
57,0.057,1.03594,1.02736
58,0.058,1.03779,1.02761
59,0.059,1.03847,1.03026
60,0.06,1.0383,1.02885
61,0.061,1.0351,1.02851
62,0.062,1.03754,1.02711
63,0.063,1.0372,1.02943
64,0.064,1.03687,1.031
65,0.065,1.03847,0.99867
66,0.066,1.03695,0.96685
67,0.067,1.03678,0.89318
68,0.068,1.03493,0.81121
69,0.069,1.03636,0.73262
70,0.07,1.03678,0.67759
71,0.071,1.03847,0.68541
72,0.072,1.03974,0.83907
73,0.073,1.03771,0.97414
74,0.074,1.03923,0.96635
75,0.075,1.03839,0.92448
76,0.076,1.03712,1.0024
77,0.077,1.03763,1.02909
78,0.078,1.03695,1.02918
79,0.079,1.03966,1.01579
80,0.08,1.03602,0.95434
81,0.081,1.03644,0.87186
82,0.082,1.0394,0.84462
