,time/s,full,straified
0,0.0,1.03999,0.17311
1,0.001,1.03805,0.1698
2,0.002,1.03771,0.16782
3,0.003,1.03796,0.16744
4,0.004,1.03779,0.16574
5,0.005,1.03678,0.16311
6,0.006,1.03703,0.1622
7,0.007,1.03644,0.16084
8,0.008,1.03695,0.16328
9,0.009,1.03695,0.16171
10,0.01,1.03703,0.15954
11,0.011,1.03923,0.15792
12,0.012,1.03653,0.15452
13,0.013,1.03864,0.15547
14,0.014,1.03628,0.15589
15,0.015,1.03636,0.15478
16,0.016,1.03712,0.1515
17,0.017,1.03661,0.14643
18,0.018,1.03628,0.15335
19,0.019,1.03771,0.16438
20,0.02,1.03915,0.17531
21,0.021,1.03712,0.18622
22,0.022,1.03602,0.18781
23,0.023,1.03746,0.18882
24,0.024,1.03611,0.19084
25,0.025,1.0372,0.19192
26,0.026,1.03779,0.18892
27,0.027,1.03915,0.18546
28,0.028,1.03729,0.18203
29,0.029,1.03847,0.17642
30,0.03,1.03594,0.17179
31,0.031,1.03535,0.17077
32,0.032,1.03813,0.16755
33,0.033,1.0351,0.16545
34,0.034,1.03847,0.16273
35,0.035,1.03813,0.16342
36,0.036,1.03746,0.16594
37,0.037,1.03703,0.16509
38,0.038,1.03729,0.16689
39,0.039,1.03915,0.16732
40,0.04,1.03779,0.16622
41,0.041,1.03712,0.1641
42,0.042,1.03847,0.16179
43,0.043,1.03788,0.15962
44,0.044,1.03805,0.15695
45,0.045,1.03687,0.15578
46,0.046,1.03628,0.1564
47,0.047,1.03763,0.15671
48,0.048,1.0367,0.15527
49,0.049,1.03763,0.15437
50,0.05,1.03855,0.15571
51,0.051,1.03611,0.15764
52,0.052,1.03796,0.15651
53,0.053,1.03805,0.1542
54,0.054,1.03771,0.15197
55,0.055,1.03796,0.15074
56,0.056,1.03712,0.14951
57,0.057,1.03594,0.14643
58,0.058,1.03779,0.14612
59,0.059,1.03847,0.14487
60,0.06,1.0383,0.14451
61,0.061,1.0351,0.1524
62,0.062,1.03754,0.15586
63,0.063,1.0372,0.1556
64,0.064,1.03687,0.16669
65,0.065,1.03847,0.1807
66,0.066,1.03695,0.18444
67,0.067,1.03678,0.18706
68,0.068,1.03493,0.1898
69,0.069,1.03636,0.18897
70,0.07,1.03678,0.18617
71,0.071,1.03847,0.1828
72,0.072,1.03974,0.17785
73,0.073,1.03771,0.17398
74,0.074,1.03923,0.16907
75,0.075,1.03839,0.16315
76,0.076,1.03712,0.15798
77,0.077,1.03763,0.15504
78,0.078,1.03695,0.15019
79,0.079,1.03966,0.14513
80,0.08,1.03602,0.14444
81,0.081,1.03644,0.14928
82,0.082,1.0394,0.15252
83,0.083,1.03476,0.15397
84,0.084,1.03813,0.16052
85,0.085,1.03611,0.1632
