,time/s,full,wave
0,0.0,1.03999,0.26502
1,0.001,1.03805,0.26523
2,0.002,1.03771,0.2647
3,0.003,1.03796,0.26568
4,0.004,1.03779,0.26776
5,0.005,1.03678,0.26757
6,0.006,1.03703,0.26626
7,0.007,1.03644,0.26637
8,0.008,1.03695,0.26754
9,0.009,1.03695,0.26843
10,0.01,1.03703,0.2683
11,0.011,1.03923,0.2676
12,0.012,1.03653,0.26895
13,0.013,1.03864,0.27109
14,0.014,1.03628,0.27195
15,0.015,1.03636,0.27134
16,0.016,1.03712,0.27181
17,0.017,1.03661,0.27378
18,0.018,1.03628,0.27525
19,0.019,1.03771,0.27557
20,0.02,1.03915,0.27508
21,0.021,1.03712,0.27605
22,0.022,1.03602,0.27828
23,0.023,1.03746,0.27886
24,0.024,1.03611,0.2777
25,0.025,1.0372,0.277
26,0.026,1.03779,0.27886
27,0.027,1.03915,0.27918
28,0.028,1.03729,0.27898
29,0.029,1.03847,0.27755
30,0.03,1.03594,0.27749
31,0.031,1.03535,0.27901
32,0.032,1.03813,0.27995
33,0.033,1.0351,0.27877
34,0.034,1.03847,0.2786
35,0.035,1.03813,0.28042
36,0.036,1.03746,0.28229
37,0.037,1.03703,0.28187
38,0.038,1.03729,0.28071
39,0.039,1.03915,0.28071
40,0.04,1.03779,0.28142
41,0.041,1.03712,0.28184
42,0.042,1.03847,0.27912
43,0.043,1.03788,0.27761
44,0.044,1.03805,0.27834
45,0.045,1.03687,0.27918
46,0.046,1.03628,0.27831
47,0.047,1.03763,0.27654
48,0.048,1.0367,0.27645
49,0.049,1.03763,0.2768
50,0.05,1.03855,0.27729
51,0.051,1.03611,0.27594
52,0.052,1.03796,0.27394
53,0.053,1.03805,0.27428
54,0.054,1.03771,0.27525
55,0.055,1.03796,0.27383
56,0.056,1.03712,0.27206
57,0.057,1.03594,0.27159
58,0.058,1.03779,0.2729
59,0.059,1.03847,0.27397
60,0.06,1.0383,0.27349
61,0.061,1.0351,0.27215
62,0.062,1.03754,0.27316
63,0.063,1.0372,0.27471
64,0.064,1.03687,0.2746
65,0.065,1.03847,0.27321
66,0.066,1.03695,0.27229
67,0.067,1.03678,0.27279
68,0.068,1.03493,0.2733
69,0.069,1.03636,0.27229
70,0.07,1.03678,0.27104
71,0.071,1.03847,0.27137
72,0.072,1.03974,0.27313
73,0.073,1.03771,0.27344
74,0.074,1.03923,0.27145
75,0.075,1.03839,0.27062
76,0.076,1.03712,0.27126
77,0.077,1.03763,0.27178
78,0.078,1.03695,0.27128
79,0.079,1.03966,0.26947
80,0.08,1.03602,0.26895
81,0.081,1.03644,0.27004
82,0.082,1.0394,0.2696
83,0.083,1.03476,0.26789
84,0.084,1.03813,0.26663
85,0.085,1.03611,0.26671
86,0.086,1.03779,0.26762
87,0.087,1.03822,0.26714
88,0.088,1.03847,0.26602
89,0.089,1.03822,0.26615
90,0.09,1.03703,0.26797
91,0.091,1.0356,0.26898
92,0.092,1.03788,0.26789
93,0.093,1.03746,0.26663
94,0.094,1.03619,0.26674
95,0.095,1.03712,0.26765
96,0.096,1.03695,0.26776
97,0.097,1.0372,0.26573
98,0.098,1.0367,0.26536
99,0.099,1.03611,0.2657
100,0.1,1.03737,0.26631
101,0.101,1.0372,0.26523
102,0.102,1.03847,0.26358
103,0.103,1.03872,0.26382
104,0.104,1.03552,0.26473
105,0.105,1.03518,0.26525
106,0.106,1.03737,0.26426
107,0.107,1.03729,0.26457
108,0.108,1.0356,0.26589
109,0.109,1.03628,0.26811
110,0.11,1.03729,0.26776
111,0.111,1.03872,0.26637
